what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1383802891740
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1383802945487
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383802950734
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383802955140
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1383802956590
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383802960235
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383802965309
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383802972491
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383802973959
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.newWizard",1383802973973
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1383802975133
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1383803014160
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1383803021935
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1383803033486
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1383803036034
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1383803121138
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383803130148
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383803214620
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1383803215130
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1383803215249
error,log,,,"Could not publish server configuration: C:\\Users\\Gustavo\\Documents\\GitHub\\developAust\\.metadata\\.plugins\\org.eclipse.wst.server.core\\tmp0\\conf\\server.xml (The requested operation cannot be performed on a file with a user-mapped section open).",1383803215844
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383803215976
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383803217204
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383803228253
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383803228464
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1383803228544
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.nextEditor",1383803228545
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383803230773
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383803234642
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1383803234718
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.nextEditor",1383803234719
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1383803250789
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383803363868
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383803375984
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1383803376416
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1383803376529
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383803395620
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383803397259
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.generate.constructor.using.fields",1383803397268
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383803409738
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383803411767
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.add.unimplemented.constructors",1383803411809
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1383803415348
error,log,,,"Could not publish server configuration: C:\\Users\\Gustavo\\Documents\\GitHub\\developAust\\.metadata\\.plugins\\org.eclipse.wst.server.core\\tmp0\\conf\\server.xml (The requested operation cannot be performed on a file with a user-mapped section open).",1383803416583
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383803416667
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383803417739
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1383803497053
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1383803512273
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1383803522101
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1383803528908
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383803540498
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383803567227
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1383803569710
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383803572914
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383803577256
